#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_43	86.3953	236303	0.5165	100.0000	236303	67532	67474	0.5195	86	14.08
scaffold_44	85.8996	230054	0.5194	100.0000	230054	65299	65211	0.5224	85	14.99
scaffold_45	87.5684	217551	0.5158	100.0000	217551	62726	62701	0.5188	87	14.82
scaffold_46	88.5802	182474	0.5170	100.0000	182474	52961	53003	0.5202	88	15.43
scaffold_47	86.4962	163686	0.5209	100.0000	163686	46662	46615	0.5235	85	14.99
scaffold_48	86.6290	162307	0.5223	100.0000	162307	46413	46472	0.5254	86	14.60
scaffold_49	87.4321	156053	0.5243	100.0000	156053	44947	44978	0.5276	87	15.37
scaffold_50	87.7657	148775	0.5218	100.0000	148775	43027	43052	0.5247	87	15.19
scaffold_51	87.1161	148563	0.5222	100.0000	148563	42386	42349	0.5251	87	14.37
scaffold_52	85.8385	146881	0.5195	100.0000	146881	41782	41775	0.5224	85	14.53
scaffold_53	87.3851	140293	0.5243	100.0000	140293	40408	40414	0.5273	87	14.96
scaffold_54	83.9461	120176	0.5109	100.0000	120176	33300	33310	0.5178	84	16.87
scaffold_55	87.1622	101158	0.5134	100.0000	101158	29125	28993	0.5170	83	70.54
scaffold_56	86.4622	90166	0.5199	100.0000	90166	25832	25787	0.5234	86	15.15
scaffold_57	86.5098	87401	0.5216	100.0000	87401	25063	25047	0.5247	86	15.15
scaffold_58	83.9799	81485	0.5021	100.0000	81485	22649	22600	0.5055	83	15.04
scaffold_59	290.4783	68242	0.5078	100.0000	68242	65688	65696	0.5158	85	661.65
scaffold_60	87.9573	61240	0.5067	100.0000	61240	17866	17828	0.5103	87	18.06
scaffold_61	86.6796	59495	0.5103	100.0000	59495	16538	16596	0.5142	86	14.83
scaffold_62	89.3889	56119	0.5129	100.0000	56119	16651	16601	0.5163	86	28.23
scaffold_63	86.5489	53763	0.5134	100.0000	53763	15412	15429	0.5176	86	15.70
scaffold_64	86.4891	52907	0.5157	100.0000	52907	15001	15005	0.5221	86	16.42
scaffold_65	83.0371	48948	0.5030	100.0000	48948	13406	13396	0.5063	83	14.41
scaffold_66	89.0166	48241	0.5117	100.0000	48241	14070	14038	0.5145	85	25.41
scaffold_67	84.8316	47111	0.4852	100.0000	47111	13240	13225	0.5000	86	21.28
scaffold_68	80.7175	46753	0.4884	100.0000	46753	12467	12485	0.4939	80	16.21
scaffold_69	81.6728	45025	0.4746	100.0000	45025	11508	11473	0.4836	82	17.82
scaffold_70	85.5350	39942	0.5193	99.9499	39922	11311	11255	0.5309	87	19.09
scaffold_71	87.8413	37736	0.5119	100.0000	37736	10940	10950	0.5211	88	21.70
scaffold_72	86.2035	36765	0.4997	100.0000	36765	10493	10512	0.5029	82	25.28
scaffold_73	86.3738	35883	0.5084	100.0000	35883	10205	10252	0.5151	82	26.99
scaffold_74	84.2928	35599	0.5176	100.0000	35599	9920	9953	0.5263	85	17.30
scaffold_75	83.4295	33924	0.5144	100.0000	33924	9277	9265	0.5234	84	16.46
scaffold_76	87.0126	31613	0.5218	100.0000	31613	9031	9003	0.5256	87	16.25
scaffold_77	85.8419	31182	0.5158	100.0000	31182	8866	8850	0.5191	86	19.71
scaffold_78	83.6276	30902	0.4932	100.0000	30902	8560	8565	0.4963	82	15.61
scaffold_79	85.2738	30863	0.5137	100.0000	30863	8604	8604	0.5163	85	15.35
scaffold_80	85.8890	29678	0.5161	100.0000	29678	8454	8460	0.5238	86	17.72
scaffold_81	85.7678	27808	0.4837	100.0000	27808	7898	7915	0.5023	89	22.07
scaffold_82	84.8200	27692	0.5048	100.0000	27692	7780	7804	0.5086	84	16.90
scaffold_83	84.5891	26826	0.5129	100.0000	26826	7519	7527	0.5169	84	19.01
scaffold_84	82.2208	24072	0.5076	100.0000	24072	6563	6556	0.5132	79	20.75
scaffold_85	94.2043	23018	0.4970	100.0000	23018	7168	7194	0.5011	86	32.70
scaffold_86	94.9251	21074	0.5149	100.0000	21074	6604	6591	0.5173	86	31.75
scaffold_87	85.8112	19389	0.5082	100.0000	19389	5397	5381	0.5118	85	15.97
scaffold_88	79.6460	19349	0.4894	100.0000	19349	5107	5086	0.4933	79	15.21
scaffold_89	128.3563	19040	0.5043	100.0000	19040	8101	8127	0.5112	123	48.65
scaffold_90	83.0356	18211	0.5039	100.0000	18211	4997	5005	0.5062	83	13.45
scaffold_91	86.2024	17841	0.5034	100.0000	17841	5106	5108	0.5080	81	30.16
scaffold_92	85.1370	16397	0.5169	100.0000	16397	4660	4603	0.5207	85	16.46
scaffold_93	90.9979	15869	0.5043	100.0000	15869	4797	4780	0.5066	88	22.17
scaffold_94	81.3878	14962	0.4974	100.0000	14962	4028	4040	0.4999	81	15.39
scaffold_95	85.2179	14508	0.5028	100.0000	14508	4095	4098	0.5058	86	15.68
scaffold_96	88.7112	14359	0.5067	100.0000	14359	4239	4207	0.5079	85	23.46
scaffold_97	79.8483	13926	0.4939	100.0000	13926	3680	3690	0.5075	81	20.20
scaffold_98	87.3028	13446	0.4882	100.0000	13446	3876	3884	0.4933	84	22.84
scaffold_99	82.0902	13303	0.5062	100.0000	13303	3611	3636	0.5102	80	22.53
scaffold_100	1044.3278	12875	0.2890	100.0000	12875	44426	44690	0.3202	1071	364.31
scaffold_101	85.9612	11732	0.5147	100.0000	11732	3330	3360	0.5185	85	16.26
scaffold_102	96.5319	11528	0.5051	100.0000	11528	3690	3695	0.5086	89	29.95
scaffold_103	83.1074	10459	0.4959	100.0000	10459	2883	2886	0.5008	83	15.52
scaffold_104	81.5767	10140	0.5111	100.0000	10140	2750	2741	0.5129	82	14.12
scaffold_105	91.6957	9629	0.5060	100.0000	9629	2938	2915	0.5075	86	29.90
scaffold_106	82.6885	9604	0.5157	100.0000	9604	2638	2624	0.5186	84	16.26
scaffold_107	87.4053	8742	0.5133	100.0000	8742	2539	2530	0.5162	87	17.67
scaffold_108	83.1115	8698	0.5033	100.0000	8698	2399	2406	0.5063	83	16.34
scaffold_109	89.2542	8674	0.5208	100.0000	8674	2521	2530	0.5232	88	15.91
scaffold_110	80.8864	8286	0.4902	100.0000	8286	2235	2215	0.4940	78	19.15
scaffold_111	110.3250	8041	0.5084	100.0000	8041	2934	2953	0.5171	94	39.71
scaffold_112	792.7882	7725	0.2493	100.0000	7725	20397	20308	0.2801	743	298.75
scaffold_113	881.2239	7659	0.2580	100.0000	7659	22587	22344	0.2908	908	335.96
scaffold_114	82.1951	7334	0.5052	100.0000	7334	2007	1991	0.5075	84	16.48
scaffold_115	88.4701	6990	0.5123	100.0000	6990	2046	2051	0.5166	84	31.37
scaffold_116	86.0762	6953	0.4930	100.0000	6953	1995	1972	0.5000	86	21.86
scaffold_117	82.9138	6589	0.5359	100.0000	6589	1808	1831	0.5443	83	17.52
scaffold_118	83.0146	6428	0.5292	100.0000	6428	1768	1764	0.5295	83	15.01
scaffold_119	93.2699	6362	0.5046	100.0000	6362	1963	1977	0.5113	85	32.68
scaffold_120	91.9491	6342	0.5002	100.0000	6342	1919	1920	0.4992	86	32.71
scaffold_121	152.0656	5610	0.5111	100.0000	5610	2831	2837	0.5136	161	34.92
scaffold_122	76.2073	5553	0.5050	100.0000	5553	1408	1407	0.5063	77	14.30
scaffold_123	78.2801	5376	0.5033	100.0000	5376	1389	1404	0.5046	78	14.15
scaffold_124	92.5265	5094	0.5075	100.0000	5094	1570	1564	0.5098	87	25.71
scaffold_125	80.8342	4820	0.4944	100.0000	4820	1300	1283	0.5005	81	15.21
scaffold_126	82.4017	4692	0.3600	100.0000	4692	1269	1291	0.4987	72	68.04
scaffold_127	81.7480	4604	0.5241	100.0000	4604	1253	1249	0.5251	81	15.32
scaffold_128	118.1143	4225	0.4717	100.0000	4225	1646	1676	0.4771	116	34.57
scaffold_129	161.6929	4181	0.5066	100.0000	4181	2232	2238	0.5102	165	26.51
scaffold_130	165.3394	3933	0.4864	100.0000	3933	2166	2154	0.4901	163	31.58
scaffold_131	160.2142	3888	0.4787	100.0000	3888	2073	2059	0.4872	168	35.67
scaffold_132	12.5950	3869	0.1698	100.0000	3869	166	162	0.2120	12	6.82
scaffold_133	108.7627	3856	0.5303	100.0000	3856	1409	1378	0.5234	88	66.65
scaffold_134	79.6180	3819	0.4999	100.0000	3819	1007	1013	0.5016	79	16.59
scaffold_135	100.1480	3703	0.5187	100.0000	3703	1214	1240	0.5201	91	38.97
scaffold_136	84.5496	3630	0.5037	100.0000	3630	1001	1000	0.5040	85	18.14
scaffold_137	240.3255	3407	0.4952	100.0000	3407	2734	2719	0.4976	244	30.95
scaffold_138	86.1534	2843	0.5079	100.0000	2843	813	815	0.5092	83	21.93
scaffold_139	77.8073	2729	0.4269	100.0000	2729	699	715	0.4892	83	43.36
scaffold_140	106.8885	2699	0.5165	100.0000	2699	955	963	0.5215	89	45.74
scaffold_141	607.2493	2619	0.2352	100.0000	2619	5459	5418	0.3220	447	412.96
scaffold_142	153.6985	2614	0.5138	100.0000	2614	1351	1328	0.5183	159	34.15
scaffold_143	99.8481	2593	0.4759	100.0000	2593	864	859	0.4767	90	32.93
scaffold_144	158.7688	2560	0.5289	100.0000	2560	1341	1364	0.5280	166	43.44
scaffold_145	130.8349	2520	0.4929	100.0000	2520	1095	1099	0.4975	133	34.89
scaffold_146	80.9649	2396	0.4950	100.0000	2396	661	634	0.5078	82	20.58
scaffold_147	96.8622	2381	0.5048	100.0000	2381	759	772	0.5142	86	48.30
scaffold_148	164.2077	2359	0.5049	100.0000	2359	1290	1286	0.5055	170	27.70
scaffold_149	13.5750	2313	0.1781	100.0000	2313	106	103	0.2195	13	7.12
scaffold_150	95.5549	2260	0.4628	100.0000	2260	718	716	0.4739	81	59.32
scaffold_151	172.3844	2175	0.4805	100.0000	2175	1261	1230	0.4792	186	62.41
scaffold_152	148.2112	2050	0.5015	100.0000	2050	1017	1001	0.5073	145	43.31
scaffold_153	170.4206	2021	0.4958	100.0000	2021	1135	1151	0.4971	166	45.18
scaffold_154	130.1679	1995	0.5028	100.0000	1995	858	871	0.5041	134	34.44
scaffold_155	157.4987	1937	0.4590	100.0000	1937	1027	1038	0.4722	152	44.64
scaffold_156	125.4450	1838	0.5267	100.0000	1838	765	766	0.5286	127	50.73
scaffold_157	74.7304	1810	0.5044	100.0000	1810	451	444	0.5059	77	18.98
scaffold_158	161.3840	1768	0.5023	100.0000	1768	957	962	0.5040	166	29.16
scaffold_159	127.7270	1751	0.4974	100.0000	1751	730	758	0.4977	133	33.75
scaffold_160	169.2341	1743	0.5164	100.0000	1743	982	980	0.5169	177	34.42
scaffold_161	115.4965	1724	0.4959	100.0000	1724	549	543	0.4997	118	36.40
scaffold_162	176.4713	1723	0.5218	100.0000	1723	1016	1005	0.5240	181	37.15
scaffold_163	145.2807	1721	0.4916	100.0000	1721	835	829	0.4950	148	31.82
scaffold_164	107.2630	1639	0.4759	100.0000	1639	568	571	0.4863	112	39.66
scaffold_165	15.3666	1601	0.2011	100.0000	1601	85	81	0.2235	14	8.17
scaffold_166	266.9316	1578	0.5659	100.0000	1578	1415	1389	0.5685	282	64.44
scaffold_167	132.1408	1570	0.4662	100.0000	1570	693	689	0.4760	142	34.45
scaffold_168	154.5384	1536	0.4954	100.0000	1536	789	803	0.5007	156	26.99
scaffold_169	73.2422	1503	0.4977	100.0000	1503	365	366	0.5006	77	17.64
scaffold_170	153.1951	1476	0.5217	100.0000	1476	758	745	0.5252	164	47.25
scaffold_171	207.4283	1436	0.4791	100.0000	1436	987	1008	0.4825	211	39.71
scaffold_172	74.3423	1417	0.5039	100.0000	1417	349	358	0.5112	74	19.99
scaffold_173	157.8620	1406	0.5220	100.0000	1406	747	738	0.5295	166	38.23
scaffold_174	136.8108	1385	0.5126	100.0000	1385	635	628	0.5171	145	36.53
scaffold_175	142.7558	1372	0.4978	100.0000	1372	645	662	0.5054	150	41.53
scaffold_176	149.4942	1368	0.5073	100.0000	1368	688	679	0.5054	157	40.48
scaffold_177	139.8308	1365	0.5648	100.0000	1365	634	640	0.5656	150	46.70
scaffold_178	152.0220	1362	0.5066	100.0000	1362	707	675	0.5111	154	32.67
scaffold_179	168.2439	1353	0.5322	100.0000	1353	768	760	0.5368	171	38.50
scaffold_180	155.3011	1325	0.5306	100.0000	1325	680	696	0.5300	159	40.34
scaffold_181	133.4945	1278	0.4742	100.0000	1278	579	562	0.4782	140	36.18
scaffold_182	120.7110	1277	0.4941	100.0000	1277	523	508	0.4967	137	44.15
scaffold_183	14.8808	1233	0.2076	100.0000	1233	62	60	0.2075	11	9.84
scaffold_184	151.4571	1225	0.5347	100.0000	1225	620	621	0.5335	158	29.31
scaffold_185	161.5383	1213	0.5317	100.0000	1213	653	650	0.5275	173	37.85
scaffold_186	314.3642	1211	0.5161	100.0000	1211	1277	1268	0.5167	336	63.13
scaffold_187	138.8766	1183	0.5021	100.0000	1183	559	540	0.4984	143	27.12
scaffold_188	147.1353	1168	0.4666	100.0000	1168	567	583	0.4705	148	32.95
scaffold_189	161.5034	1164	0.5180	100.0000	1164	635	622	0.5172	171	39.58
scaffold_190	143.9244	1151	0.5178	100.0000	1151	558	552	0.5211	155	35.67
scaffold_191	2005.0977	1146	0.5358	100.0000	1146	7684	7634	0.5383	2047	530.88
scaffold_192	125.9359	1138	0.4851	100.0000	1138	461	443	0.4890	128	36.59
scaffold_193	149.9728	1104	0.4873	100.0000	1104	557	554	0.4887	154	31.80
scaffold_194	22.6479	1065	0.1202	100.0000	1065	80	81	0.1685	22	12.65
scaffold_195	142.0464	1055	0.4967	100.0000	1055	496	502	0.4976	161	41.07
scaffold_196	102.5799	1045	0.5225	100.0000	1045	292	272	0.5323	123	41.86
scaffold_197	186.4343	1043	0.5388	100.0000	1043	646	655	0.5419	193	36.87
scaffold_198	167.8155	992	0.5292	100.0000	992	558	553	0.5313	180	42.51
scaffold_199	322.3559	989	0.5005	100.0000	989	1058	1094	0.5068	352	75.05
scaffold_200	159.3509	989	0.5359	100.0000	989	515	536	0.5429	186	55.43
scaffold_201	150.4545	977	0.4903	100.0000	977	506	508	0.4930	159	28.22
scaffold_202	166.6578	976	0.5318	100.0000	976	549	541	0.5323	177	38.11
scaffold_203	166.4585	975	0.4995	100.0000	975	538	553	0.4996	178	33.25
scaffold_204	169.1845	970	0.5196	100.0000	970	560	558	0.5238	183	44.77
scaffold_205	227.0588	952	0.5158	100.0000	952	735	745	0.5232	245	43.34
scaffold_206	178.1972	933	0.5134	100.0000	933	559	574	0.5170	191	34.32
scaffold_207	594.7124	925	0.5027	100.0000	925	1965	1700	0.4997	109	807.52
scaffold_208	77.9007	906	0.4890	100.0000	906	237	235	0.4840	77	26.56
scaffold_209	325.6165	897	0.5184	100.0000	897	1014	958	0.5178	344	66.91
scaffold_210	135.4698	894	0.4955	100.0000	894	397	416	0.4994	146	33.42
scaffold_211	238.4462	883	0.5515	100.0000	883	706	709	0.5614	248	60.98
scaffold_212	143.8005	882	0.5102	100.0000	882	419	432	0.5174	158	39.76
scaffold_213	71.8175	882	0.5181	100.0000	882	218	206	0.5184	79	20.08
scaffold_214	245.6074	866	0.5300	100.0000	866	715	716	0.5279	271	60.71
scaffold_215	2118.2849	860	0.4988	100.0000	860	6259	6003	0.5030	2243	482.87
scaffold_216	131.1713	858	0.4732	100.0000	858	368	388	0.4870	144	40.90
scaffold_217	10.8074	836	0.1722	100.0000	836	31	30	0.1700	8	7.57
scaffold_218	33.4149	834	0.2938	100.0000	834	94	94	0.3364	34	13.00
scaffold_219	228.8386	830	0.4976	100.0000	830	635	637	0.4993	253	64.98
scaffold_220	77.4258	829	0.5223	100.0000	829	215	220	0.5207	84	16.55
scaffold_221	154.9412	817	0.5080	100.0000	817	436	440	0.5104	161	29.86
scaffold_222	156.8698	814	0.5098	100.0000	814	436	425	0.5063	164	42.50
scaffold_223	162.9648	795	0.5233	100.0000	795	460	430	0.5245	169	36.50
scaffold_224	172.6058	794	0.5277	100.0000	794	477	479	0.5309	178	29.32
scaffold_225	281.4199	793	0.5889	100.0000	793	759	755	0.5903	310	66.54
scaffold_226	126.8714	793	0.4716	100.0000	793	342	336	0.4756	136	31.03
scaffold_227	164.7423	784	0.5026	100.0000	784	429	439	0.5023	179	46.20
scaffold_228	222.3734	782	0.4936	100.0000	782	601	570	0.4967	229	65.44
scaffold_229	141.9629	781	0.4840	100.0000	781	379	365	0.4873	144	36.24
scaffold_230	221.5212	779	0.4840	100.0000	779	573	584	0.4911	239	58.45
scaffold_231	116.6728	764	0.5079	100.0000	764	304	297	0.5080	135	37.74
scaffold_232	166.0346	752	0.5239	100.0000	752	426	415	0.5249	181	40.73
scaffold_233	154.4704	744	0.5215	100.0000	744	390	383	0.5225	171	40.78
scaffold_234	157.3932	740	0.4892	100.0000	740	394	395	0.4984	165	44.23
scaffold_235	140.4355	737	0.4613	100.0000	737	359	348	0.4669	147	34.88
scaffold_236	7.9631	732	0.1325	100.0000	732	20	20	0.1725	8	3.23
scaffold_237	139.8573	729	0.4897	100.0000	729	349	347	0.4822	145	34.76
scaffold_238	123.3654	728	0.5055	100.0000	728	300	304	0.4961	127	32.25
scaffold_239	374.4765	722	0.1717	100.0000	722	926	908	0.2014	385	146.98
scaffold_240	124.3130	722	0.4875	100.0000	722	322	301	0.4978	89	70.41
scaffold_241	12.9742	698	0.1533	100.0000	698	30	30	0.1837	13	6.64
scaffold_242	158.2945	686	0.4883	100.0000	686	372	363	0.4856	163	47.65
scaffold_243	154.1857	684	0.5205	100.0000	684	357	355	0.5208	170	41.57
scaffold_244	151.5697	660	0.4955	100.0000	660	354	340	0.5034	149	39.19
scaffold_245	171.7353	646	0.5124	100.0000	646	383	382	0.5059	179	33.54
scaffold_246	221.6563	640	0.4891	100.0000	640	476	483	0.4917	247	61.49
scaffold_247	149.8075	639	0.5149	100.0000	639	337	332	0.5138	156	22.81
scaffold_248	122.4523	639	0.5023	100.0000	639	261	264	0.4892	140	39.91
scaffold_249	139.4867	637	0.4835	100.0000	637	307	309	0.4899	152	42.64
scaffold_250	153.0031	636	0.5094	100.0000	636	338	318	0.5101	167	43.00
scaffold_251	141.1604	636	0.5283	100.0000	636	300	301	0.5375	153	42.41
scaffold_252	127.8580	634	0.4716	100.0000	634	283	272	0.4753	138	42.86
scaffold_253	136.7690	632	0.4842	100.0000	632	295	287	0.4903	138	42.31
scaffold_254	8.6534	629	0.1669	100.0000	629	18	19	0.1956	9	3.13
scaffold_255	154.5597	620	0.4839	100.0000	620	327	323	0.4972	169	41.67
scaffold_256	161.5631	618	0.5291	100.0000	618	355	335	0.5258	161	42.53
scaffold_257	160.6324	612	0.5212	100.0000	612	328	334	0.5307	181	43.66
scaffold_258	157.0621	612	0.5180	100.0000	612	318	323	0.5227	176	52.65
scaffold_259	276.5237	611	0.4943	100.0000	611	580	564	0.4978	308	71.56
scaffold_260	140.6145	594	0.5202	100.0000	594	287	288	0.5156	149	28.14
scaffold_261	106.4983	590	0.5186	100.0000	590	198	220	0.5416	116	43.83
scaffold_262	208.5597	586	0.5085	100.0000	586	413	408	0.5072	237	78.00
scaffold_263	65.4966	586	0.4949	100.0000	586	127	130	0.4887	73	22.70
scaffold_264	57.7935	586	0.4676	100.0000	586	112	113	0.4621	70	26.35
scaffold_265	158.4103	580	0.5103	100.0000	580	329	327	0.5173	158	23.52
scaffold_266	2037.7288	579	0.5268	100.0000	579	4020	3914	0.5375	2335	614.99
scaffold_267	62.8998	579	0.4922	100.0000	579	123	121	0.4966	73	22.77
scaffold_268	57.1930	575	0.2591	100.0000	575	111	141	0.4423	26	54.61
scaffold_269	61.9391	558	0.4767	100.0000	558	122	110	0.4835	66	20.40
scaffold_270	224.5332	557	0.4919	100.0000	557	441	433	0.5046	235	49.62
scaffold_271	287.6721	555	0.4973	100.0000	555	544	538	0.4989	308	87.20
scaffold_272	159.6022	553	0.5154	100.0000	553	303	308	0.5138	163	39.38
scaffold_273	148.2911	553	0.5154	100.0000	553	288	265	0.5163	164	39.96
scaffold_274	216.6377	552	0.5145	100.0000	552	400	433	0.5202	231	49.41
scaffold_275	86.9141	547	0.5539	100.0000	547	160	169	0.5547	94	20.13
scaffold_276	100.2661	545	0.5211	100.0000	545	182	182	0.5270	114	37.75
scaffold_277	62.0647	541	0.5545	100.0000	541	124	100	0.5537	75	29.54
scaffold_278	141.4212	539	0.4601	100.0000	539	262	258	0.4659	146	42.58
scaffold_279	157.8234	538	0.5242	100.0000	538	290	289	0.5200	167	35.30
scaffold_280	10.3371	534	0.1255	100.0000	534	19	18	0.1688	9	5.23
scaffold_281	119.0038	532	0.4267	100.0000	532	215	210	0.4243	135	43.00
scaffold_282	14.8041	531	0.0923	100.0000	531	25	28	0.1469	17	7.94
scaffold_283	130.2000	530	0.5264	100.0000	530	229	237	0.5227	141	42.38
scaffold_284	12.4057	530	0.1811	100.0000	530	21	23	0.1400	12	7.20
scaffold_285	140.0870	529	0.5028	100.0000	529	247	265	0.5031	158	38.18
scaffold_286	139.3321	527	0.5389	100.0000	527	261	235	0.5379	143	40.96
scaffold_287	142.3726	526	0.5133	100.0000	526	252	253	0.5090	166	49.55
scaffold_288	149.1027	526	0.5152	100.0000	526	266	281	0.5107	162	36.08
scaffold_289	134.1257	517	0.5010	100.0000	517	247	239	0.5152	139	37.32
scaffold_290	144.0272	514	0.5058	100.0000	514	254	262	0.5050	154	32.85
scaffold_291	135.8518	506	0.5099	100.0000	506	246	242	0.5102	148	30.62
scaffold_292	118.1324	506	0.4625	100.0000	506	204	200	0.4684	132	47.25
scaffold_293	166.1347	505	0.5723	100.0000	505	289	282	0.5693	175	48.69
scaffold_294	9.1329	504	0.2202	100.0000	504	15	16	0.2256	10	4.78
scaffold_295	138.4240	500	0.4720	100.0000	500	229	246	0.4821	144	34.37
scaffold_296	116.1062	499	0.4609	100.0000	499	195	198	0.4697	127	42.79
scaffold_297	64.1205	498	0.5040	100.0000	498	108	107	0.5225	67	23.49
scaffold_298	188.9557	497	0.4930	100.0000	497	319	314	0.4952	220	61.47
scaffold_299	145.2667	495	0.4667	100.0000	495	263	240	0.4642	165	39.37
scaffold_300	127.0669	493	0.5030	100.0000	493	218	209	0.4956	138	37.95
scaffold_301	162.9654	492	0.4898	100.0000	492	275	282	0.4872	180	42.42
scaffold_302	213.7495	487	0.4969	100.0000	487	347	357	0.4947	222	82.18
scaffold_303	131.9425	487	0.4805	100.0000	487	223	214	0.4915	152	45.30
scaffold_304	118.0657	487	0.4435	100.0000	487	203	187	0.4558	119	57.80
scaffold_305	106.0228	483	0.4990	100.0000	483	173	169	0.5017	124	40.40
scaffold_306	134.3271	483	0.4969	100.0000	483	225	213	0.4961	150	43.30
scaffold_307	122.1229	480	0.5188	100.0000	480	211	188	0.5223	137	36.91
scaffold_308	8.1653	478	0.1088	100.0000	478	13	13	0.1314	9	4.08
scaffold_309	147.3354	477	0.5115	100.0000	477	222	257	0.5156	162	42.70
scaffold_310	133.5367	477	0.4927	100.0000	477	204	231	0.4895	161	50.48
scaffold_311	40.2101	476	0.3361	100.0000	476	70	59	0.3635	46	22.88
scaffold_312	148.9027	473	0.5222	100.0000	473	250	238	0.5262	160	40.20
scaffold_313	107.7780	473	0.4820	100.0000	473	175	166	0.4820	117	41.09
scaffold_314	141.6695	469	0.5011	100.0000	469	224	229	0.5008	158	39.40
scaffold_315	183.2790	466	0.4807	100.0000	466	301	283	0.4929	202	61.61
scaffold_316	135.6803	466	0.5258	100.0000	466	215	215	0.5126	151	42.65
scaffold_317	145.1548	465	0.5011	100.0000	465	228	238	0.5032	159	44.21
scaffold_318	109.7935	465	0.4989	100.0000	465	176	173	0.5076	121	43.29
scaffold_319	201.3931	463	0.5270	100.0000	463	306	325	0.5238	237	70.09
scaffold_320	127.3680	462	0.5346	100.0000	462	206	196	0.5212	145	39.99
